timestamp,employee,door,floor,room,timestamp_readable
1677050402,168844,0-0,0,0,2023-02-22 06:30:02
1677050408,168880,0-0,0,0,2023-02-22 06:30:08
1677050410,168834,0-0,0,0,2023-02-22 06:30:10
1677050413,168793,0-0,0,0,2023-02-22 06:30:13
1677050415,168793,3-0,3,0,2023-02-22 06:30:15
1677050420,168890,0-0,0,0,2023-02-22 06:30:20
1677050421,168861,0-0,0,0,2023-02-22 06:30:21
1677050422,168792,0-0,0,0,2023-02-22 06:30:22
1677050427,168829,0-0,0,0,2023-02-22 06:30:27
1677050433,168856,0-0,0,0,2023-02-22 06:30:33
1677050437,168899,0-0,0,0,2023-02-22 06:30:37
1677050439,168846,0-0,0,0,2023-02-22 06:30:39
1677050444,168806,0-0,0,0,2023-02-22 06:30:44
1677050446,168878,0-0,0,0,2023-02-22 06:30:46
1677050450,168855,0-0,0,0,2023-02-22 06:30:50
1677050453,168796,0-0,0,0,2023-02-22 06:30:53
1677050456,168877,0-0,0,0,2023-02-22 06:30:56
1677050458,168777,0-0,0,0,2023-02-22 06:30:58
1677050460,168861,1-0,1,0,2023-02-22 06:31:00
1677050461,168895,0-0,0,0,2023-02-22 06:31:01
1677050463,168890,3-0,3,0,2023-02-22 06:31:03
1677050467,168780,0-0,0,0,2023-02-22 06:31:07
1677050472,168811,0-0,0,0,2023-02-22 06:31:12
1677050478,168876,0-0,0,0,2023-02-22 06:31:18
1677050481,168793,4-0,4,0,2023-02-22 06:31:21
1677050486,168821,0-0,0,0,2023-02-22 06:31:26
1677050490,168880,5-0,5,0,2023-02-22 06:31:30
1677050495,168782,0-0,0,0,2023-02-22 06:31:35
1677050496,168820,0-0,0,0,2023-02-22 06:31:36
1677050499,168838,0-0,0,0,2023-02-22 06:31:39
1677050502,168851,0-0,0,0,2023-02-22 06:31:42
1677050503,168835,0-0,0,0,2023-02-22 06:31:43
1677050507,168860,0-0,0,0,2023-02-22 06:31:47
1677050511,168820,5-0,5,0,2023-02-22 06:31:51
1677050514,168890,3-19,3,19,2023-02-22 06:31:54
1677050518,168788,0-0,0,0,2023-02-22 06:31:58
1677050521,168856,1-0,1,0,2023-02-22 06:32:01
1677050526,168829,6-0,6,0,2023-02-22 06:32:06
1677050531,168819,0-0,0,0,2023-02-22 06:32:11
1677050534,168804,0-0,0,0,2023-02-22 06:32:14
1677050535,168874,0-0,0,0,2023-02-22 06:32:15
1677050539,168784,0-0,0,0,2023-02-22 06:32:19
1677050543,168794,0-0,0,0,2023-02-22 06:32:23
1677050549,168789,0-0,0,0,2023-02-22 06:32:29
1677050554,168825,0-0,0,0,2023-02-22 06:32:34
1677050556,168849,0-0,0,0,2023-02-22 06:32:36
1677050557,168840,0-0,0,0,2023-02-22 06:32:37
1677050560,168811,1-0,1,0,2023-02-22 06:32:40
1677050561,168792,4-0,4,0,2023-02-22 06:32:41
1677050564,168881,0-0,0,0,2023-02-22 06:32:44
1677050568,168815,0-0,0,0,2023-02-22 06:32:48
1677050572,168790,0-0,0,0,2023-02-22 06:32:52
1677050575,168849,4-0,4,0,2023-02-22 06:32:55
1677050577,168873,0-0,0,0,2023-02-22 06:32:57
1677050582,168858,0-0,0,0,2023-02-22 06:33:02
1677050584,168780,6-0,6,0,2023-02-22 06:33:04
1677050586,168792,4-6,4,6,2023-02-22 06:33:06
1677050589,168898,0-0,0,0,2023-02-22 06:33:09
1677050594,168781,0-0,0,0,2023-02-22 06:33:14
1677050596,168794,6-0,6,0,2023-02-22 06:33:16
1677050602,168785,0-0,0,0,2023-02-22 06:33:22
1677050608,168773,0-0,0,0,2023-02-22 06:33:28
1677050610,168875,0-0,0,0,2023-02-22 06:33:30
1677050611,168804,5-0,5,0,2023-02-22 06:33:31
1677050612,168775,0-0,0,0,2023-02-22 06:33:32
1677050616,168869,0-0,0,0,2023-02-22 06:33:36
1677050621,168779,0-0,0,0,2023-02-22 06:33:41
1677050622,168815,5-0,5,0,2023-02-22 06:33:42
1677050625,168850,0-0,0,0,2023-02-22 06:33:45
1677050627,168893,0-0,0,0,2023-02-22 06:33:47
1677050632,168876,6-0,6,0,2023-02-22 06:33:52
1677050634,168802,0-0,0,0,2023-02-22 06:33:54
1677050639,168883,0-0,0,0,2023-02-22 06:33:59
1677050645,168785,4-0,4,0,2023-02-22 06:34:05
