timestamp,employee,door
1677047402,168844,0-0
1677047408,168880,0-0
1677047410,168834,0-0
1677047413,168793,0-0
1677047415,168793,3-0
1677047420,168890,0-0
1677047421,168861,0-0
1677047422,168792,0-0
1677047427,168829,0-0
1677047433,168856,0-0
1677047437,168899,0-0
1677047439,168846,0-0
1677047444,168806,0-0
1677047446,168878,0-0
1677047450,168855,0-0
1677047453,168796,0-0
1677047456,168877,0-0
1677047458,168777,0-0
1677047460,168861,1-0
1677047461,168895,0-0
1677047463,168890,3-0
1677047467,168780,0-0
1677047468,,
1677047472,168811,0-0
1677047478,168876,0-0
1677047481,168793,4-0
1677047486,168821,0-0
1677047490,168880,5-0
1677047495,168782,0-0
1677047496,168820,0-0
1677047499,168838,0-0
1677047502,168851,0-0
1677047503,168835,0-0
1677047507,168860,0-0
1677047511,168820,5-0
1677047514,168890,3-19
1677047518,168788,0-0
1677047521,168856,1-0
1677047526,168829,6-0
1677047531,168819,0-0
1677047534,168804,0-0
1677047535,168874,0-0
1677047539,168784,0-0
1677047543,168794,0-0
1677047549,168789,0-0
1677047554,168825,0-0
1677047556,168849,0-0
1677047557,168840,0-0
1677047560,168811,1-0
1677047561,168792,4-0
1677047564,168881,0-0
1677047568,168815,0-0
1677047572,168790,0-0
1677047575,168849,4-0
1677047577,168873,0-0
1677047582,168858,0-0
1677047584,168780,6-0
1677047586,168792,4-6
1677047589,168898,0-0
1677047594,168781,0-0
1677047596,168794,6-0
1677047602,168785,0-0
1677047608,168773,0-0
1677047610,168875,0-0
1677047611,168804,5-0
1677047612,168775,0-0
1677047616,168869,0-0
1677047621,168779,0-0
1677047622,168815,5-0
1677047625,168850,0-0
1677047627,168893,0-0
1677047632,168876,6-0
1677047634,168802,0-0
1677047639,168883,0-0
1677047645,168785,4-0
1677047646,168803,0-0
1677047649,168828,0-0
1677047655,168803,6-0
1677047658,168825,6-0
1677047659,168811,1-8
1677047664,168841,0-0
1677047666,168871,0-0
1677047669,168805,0-0
1677047675,168851,1-0
1677047680,168855,5-0
1677047682,168788,1-0
1677047684,168829,6-15
1677047686,168823,0-0
1677047691,168850,5-0
1677047693,168874,5-0
1677047698,168834,2-0
1677047699,168837,0-0
1677047700,168793,5-0
1677047703,168889,0-0
1677047706,168852,0-0
1677047711,168777,6-0
1677047717,168790,1-0
1677047720,168867,0-0
1677047726,168868,0-0
1677047727,168812,0-0
1677047728,168899,6-0
1677047732,168872,0-0
1677047734,168855,5-1
1677047740,168788,3-0
1677047745,168777,6-17
1677047749,168828,1-0
1677047755,168817,0-0
1677047759,168773,6-0
1677047764,168854,0-0
1677047769,168773,6-1
1677047775,168898,5-0
1677047777,168787,0-0
1677047780,168859,0-0
1677047783,168843,0-0
1677047785,168805,3-0
1677047790,168891,0-0
1677047792,168872,6-0
1677047797,168873,2-0
1677047800,168821,3-0
1677047801,168898,5-16
1677047803,168866,0-0
1677047806,168777,6-3
1677047810,168806,4-0
1677047810,168806,4-0
1677047812,168895,4-0
1677047815,168817,2-0
1677047816,168853,0-0
1677047817,168846,1-0
1677047820,168831,0-0
1677047825,168873,3-0
1677047829,168860,1-0
1677047834,168866,6-0
1677047838,168840,2-0
1677047840,168852,1-0
1677047844,168889,2-0
1677047849,168893,3-0
1677047854,168773,6-25
1677047858,168783,0-0
1677047860,168876,6-3
1677047863,168775,3-0
1677047866,168805,3-11
1677047870,168800,0-0
1677047872,168876,6-0
1677047877,168870,0-0
1677047882,168818,0-0
1677047884,168805,3-17
1677047889,168775,3-16
1677047892,168863,0-0
1677047898,168859,4-0
1677047899,168811,0-0
1677047904,168818,1-0
1677047907,168796,4-0
1677047910,168787,3-0
1677047916,168832,0-0
1677047918,168858,1-0
1677047919,168880,5-23
1677047922,168812,3-0
1677047924,168894,0-0
1677047930,168893,3-4
1677047935,168783,1-0
1677047936,168862,0-0
1677047937,168790,1-25
1677047940,168800,4-0
1677047945,168892,0-0
1677047950,168824,0-0
1677047952,168805,3-21
1677047955,168843,2-0
1677047959,168837,5-0
1677047960,168879,0-0
1677047964,168853,2-0
1677047967,168852,1-5
1677047968,168864,0-0
1677047969,168846,1-19
1677047970,168781,2-0
1677047973,168823,4-0
1677047979,168788,3-10
1677047981,168854,3-0
1677047984,168831,4-0
1677047988,168862,4-0
1677047994,168865,0-0
1677047998,168898,5-16
1677048004,168858,1-25
1677048008,168881,2-0
1677048011,168859,4-6
1677048015,168806,4-22
1677048019,168869,5-0
1677048025,168859,4-6
1677048031,168801,0-0
1677048036,168788,3-12
1677048042,168778,0-0
1677048045,168839,0-0
1677048050,168836,0-0
1677048052,168879,3-0
1677048054,168829,6-16
1677048056,168882,0-0
1677048058,168899,5-0
1677048061,168820,5-9
1677048062,168862,4-4
1677048063,168868,2-0
1677048068,168876,6-5
1677048072,168879,3-11
1677048074,168779,3-0
1677048074,168779,3-0
1677048080,168880,5-6
1677048081,168829,6-4
1677048085,168859,4-10
1677048086,168815,5-9
1677048092,168791,0-0
1677048093,168849,4-18
1677048094,168806,6-0
1677048100,168823,2-0
1677048103,168875,1-0
1677048107,168785,5-0
1677048112,168833,0-0
1677048118,168810,0-0
1677048123,168860,1-24
1677048127,168800,5-0
1677048129,168899,5-25
1677048135,168831,4-5
1677048137,168880,5-1
1677048142,168780,6-5
